,category,character name
0,CGI_characters,Beechbone
1,CGI_characters,Bregalad
2,CGI_characters,Durin%27s_Bane
3,CGI_characters,Finglas
4,CGI_characters,Fladrif
5,CGI_characters,Gollum
6,CGI_characters,Great_Goblin
7,CGI_characters,Lindenroot
8,CGI_characters,Rootcouncil
9,CGI_characters,Shelob
10,CGI_characters,Smaug
11,CGI_characters,Thranduil%27s_elk
12,CGI_characters,"Tom,_Bert,_and_William"
13,CGI_characters,Treebeard
14,CGI_characters,Watcher_in_the_Water
15,CGI_characters,Witch-king%27s_fellbeast
16,Characters_in_Beren_and_L%C3%BAthien,Aegnor
17,Characters_in_Beren_and_L%C3%BAthien,Angrim
18,Characters_in_Beren_and_L%C3%BAthien,Aul%C3%AB
19,Characters_in_Beren_and_L%C3%BAthien,Ausir_(child)
20,Characters_in_Beren_and_L%C3%BAthien,Beleg
21,Characters_in_Beren_and_L%C3%BAthien,Beren
22,Characters_in_Beren_and_L%C3%BAthien,Boldog_(character)
23,Characters_in_Beren_and_L%C3%BAthien,Boldog_(title)
24,Characters_in_Beren_and_L%C3%BAthien,Curufin
25,Characters_in_Beren_and_L%C3%BAthien,Egnor_bo-Rimion
26,Characters_in_Beren_and_L%C3%BAthien,Eilinel
27,Characters_in_Beren_and_L%C3%BAthien,Elrond
28,Characters_in_Beren_and_L%C3%BAthien,Galadriel
29,Characters_in_Beren_and_L%C3%BAthien,Gimli_(Elf)
30,Characters_in_Beren_and_L%C3%BAthien,Hengest_and_Horsa
31,Characters_in_Beren_and_L%C3%BAthien,H%C3%BArin
32,Characters_in_Beren_and_L%C3%BAthien,L%C3%BAthien
33,Characters_in_Beren_and_L%C3%BAthien,Melian
34,Characters_in_Beren_and_L%C3%BAthien,Melkor
35,Characters_in_Beren_and_L%C3%BAthien,Meoita
36,Characters_in_Beren_and_L%C3%BAthien,Miaul%C3%AB
37,Characters_in_Beren_and_L%C3%BAthien,M%C3%AEm
38,Characters_in_Beren_and_L%C3%BAthien,Nan
39,Characters_in_Beren_and_L%C3%BAthien,Naugladur
40,Characters_in_Beren_and_L%C3%BAthien,Nauglath
41,Characters_in_Beren_and_L%C3%BAthien,Nessa
42,Characters_in_Beren_and_L%C3%BAthien,Oikeroi
43,Characters_in_Beren_and_L%C3%BAthien,Rimion
44,Characters_in_Beren_and_L%C3%BAthien,Tevildo
45,Characters_in_Beren_and_L%C3%BAthien,Thingol
46,Characters_in_Beren_and_L%C3%BAthien,Peregrin_Took
47,Characters_in_Beren_and_L%C3%BAthien,Umuiyan
48,Characters_in_Beren_and_L%C3%BAthien,V%C3%ABann%C3%AB
49,Characters_in_Beren_and_L%C3%BAthien,%C3%86lfwine
50,Characters_in_Born_of_Hope,Arador
51,Characters_in_Born_of_Hope,Aragorn_II_Elessar
52,Characters_in_Born_of_Hope,Arathorn_II
53,Characters_in_Born_of_Hope,Dirhaborn
54,Characters_in_Born_of_Hope,D%C3%ADrhael
55,Characters_in_Born_of_Hope,Elgarain
56,Characters_in_Born_of_Hope,Elladan_and_Elrohir
57,Characters_in_Born_of_Hope,Evonyn
58,Characters_in_Born_of_Hope,Gilraen
59,Characters_in_Born_of_Hope,Gorganog
60,Characters_in_Born_of_Hope,Halbarad
61,Characters_in_Born_of_Hope,Halbaron
62,Characters_in_Born_of_Hope,Ivorwen
63,Characters_in_Born_of_Hope,Maia_(Born_of_Hope)
64,Characters_in_Born_of_Hope,Mallor_(BOH)
65,Characters_in_Born_of_Hope,Shaknar
66,Characters_in_Morgoth%27s_Ring,R%C3%BAmil_(Noldo)
67,Characters_in_The_Book_of_Lost_Tales,Ausir_(child)
68,Characters_in_The_Book_of_Lost_Tales,Balcmeg
69,Characters_in_The_Book_of_Lost_Tales,Bodruith
70,Characters_in_The_Book_of_Lost_Tales,Fangluin
71,Characters_in_The_Book_of_Lost_Tales,Fankil
72,Characters_in_The_Book_of_Lost_Tales,Gimli_(Elf)
73,Characters_in_The_Book_of_Lost_Tales,Gorgumoth
74,Characters_in_The_Book_of_Lost_Tales,Hengest_and_Horsa
75,Characters_in_The_Book_of_Lost_Tales,Kur%C3%BAki
76,Characters_in_The_Book_of_Lost_Tales,Mablon
77,Characters_in_The_Book_of_Lost_Tales,Nan
78,Characters_in_The_Book_of_Lost_Tales,Narthseg
79,Characters_in_The_Book_of_Lost_Tales,Naugladur
80,Characters_in_The_Book_of_Lost_Tales,Nauglath
81,Characters_in_The_Book_of_Lost_Tales,Nielthi
82,Characters_in_The_Book_of_Lost_Tales,R%C3%BAmil_(Noldo)
83,Characters_in_The_Book_of_Lost_Tales,Tareg
84,Characters_in_The_Book_of_Lost_Tales,Th%C3%BB
85,Characters_in_The_Book_of_Lost_Tales,Tinfang
86,Characters_in_The_Book_of_Lost_Tales,T%C3%BB
87,Characters_in_The_Book_of_Lost_Tales,Ufedhin
88,Characters_in_The_Book_of_Lost_Tales,V%C3%ABann%C3%AB
89,Characters_in_The_Book_of_Lost_Tales,%C3%86lfwine
90,Characters_in_The_Book_of_Lost_Tales,%C3%89adgifu_(disambig)
91,Characters_in_The_Children_of_H%C3%BArin,Aerin
92,Characters_in_The_Children_of_H%C3%BArin,Algund
93,Characters_in_The_Children_of_H%C3%BArin,Andr%C3%B3g
94,Characters_in_The_Children_of_H%C3%BArin,Arminas
95,Characters_in_The_Children_of_H%C3%BArin,Asgon
96,Characters_in_The_Children_of_H%C3%BArin,Beleg
97,Characters_in_The_Children_of_H%C3%BArin,Brandir
98,Characters_in_The_Children_of_H%C3%BArin,Brodda
99,Characters_in_The_Children_of_H%C3%BArin,Dorlas
100,Characters_in_The_Children_of_H%C3%BArin,Forweg
101,Characters_in_The_Children_of_H%C3%BArin,Gamil_Zirak
102,Characters_in_The_Children_of_H%C3%BArin,Gelmir_(of_Angrod%27s_kin)
103,Characters_in_The_Children_of_H%C3%BArin,Gethron
104,Characters_in_The_Children_of_H%C3%BArin,Glaurung
105,Characters_in_The_Children_of_H%C3%BArin,Glorfindel
106,Characters_in_The_Children_of_H%C3%BArin,Gl%C3%B3redhel
107,Characters_in_The_Children_of_H%C3%BArin,Grithnir
108,Characters_in_The_Children_of_H%C3%BArin,Gwindor
109,Characters_in_The_Children_of_H%C3%BArin,Haldir_(Chieftain_of_the_Haladin)
110,Characters_in_The_Children_of_H%C3%BArin,Hunthor
111,Characters_in_The_Children_of_H%C3%BArin,H%C3%BArin
112,Characters_in_The_Children_of_H%C3%BArin,Ib%C3%BBn
113,Characters_in_The_Children_of_H%C3%BArin,Indor
114,Characters_in_The_Children_of_H%C3%BArin,Kh%C3%AEm
115,Characters_in_The_Children_of_H%C3%BArin,Lalaith
116,Characters_in_The_Children_of_H%C3%BArin,Larnach
117,Characters_in_The_Children_of_H%C3%BArin,Mablung
118,Characters_in_The_Children_of_H%C3%BArin,Melian
119,Characters_in_The_Children_of_H%C3%BArin,Melkor
120,Characters_in_The_Children_of_H%C3%BArin,Morwen
121,Characters_in_The_Children_of_H%C3%BArin,Nellas
122,Characters_in_The_Children_of_H%C3%BArin,Ni%C3%ABnor
123,Characters_in_The_Children_of_H%C3%BArin,Orleg
124,Characters_in_The_Children_of_H%C3%BArin,Orodreth
125,Characters_in_The_Children_of_H%C3%BArin,Ragnir
126,Characters_in_The_Children_of_H%C3%BArin,Ragnir_(servant)
127,Characters_in_The_Children_of_H%C3%BArin,R%C3%ADan
128,Characters_in_The_Children_of_H%C3%BArin,Sador
129,Characters_in_The_Children_of_H%C3%BArin,Saeros
130,Characters_in_The_Children_of_H%C3%BArin,Thingol
131,Characters_in_The_Children_of_H%C3%BArin,T%C3%BArin
132,Characters_in_The_Children_of_H%C3%BArin,Ulrad
133,Characters_in_The_Fall_of_Gondolin,Lug
