,category,character name
0,Villains,Beechbone
1,Villains,Bregalad
2,Villains,Durin%27s_Bane
3,Villains,Finglas
4,Villains,Fladrif
5,Villains,Gollum
6,Villains,Great_Goblin
7,Villains,Lindenroot
8,Non-canonical_Trolls,Rootcouncil
9,Non-canonical_Trolls,Shelob
10,Non-canonical_Trolls,Smaug
11,Non-canonical_Trolls,Thranduil%27s_elk
12,Non-canonical_Trolls,"Tom,_Bert,_and_William"
13,Non-canonical_Trolls,Treebeard
14,Non-canonical_Trolls,Watcher_in_the_Water
15,Non-canonical_Trolls,Witch-king%27s_fellbeast
16,Werewolves,Aegnor
17,Werewolves,Angrim
18,Werewolves,Aul%C3%AB
19,Werewolves,Ausir_(child)
20,Werewolves,Beleg
21,Werewolves,Beren
22,Werewolves,Boldog_(character)
23,Werewolves,Boldog_(title)
24,Werewolves,Curufin
25,Werewolves,Egnor_bo-Rimion
26,Werewolves,Eilinel
27,Werewolves,Elrond
28,Werewolves,Galadriel
29,Werewolves,Gimli_(Elf)
30,Werewolves,Hengest_and_Horsa
31,Werewolves,H%C3%BArin
32,Werewolves,L%C3%BAthien
33,Werewolves,Melian
34,Werewolves,Melkor
35,Werewolves,Meoita
36,Werewolves,Miaul%C3%AB
37,Werewolves,M%C3%AEm
38,Werewolves,Nan
39,Werewolves,Naugladur
40,Werewolves,Nauglath
41,Werewolves,Nessa
42,Werewolves,Oikeroi
43,Werewolves,Rimion
44,Werewolves,Thingol
45,Werewolves,Peregrin_Took
46,Werewolves,Umuiyan
47,Werewolves,V%C3%ABann%C3%AB
48,Werewolves,%C3%86lfwine
49,Werewolves,Arador
50,Werewolves,Aragorn_II_Elessar
51,Werewolves,Arathorn_II
52,Werewolves,Dirhaborn
53,Werewolves,D%C3%ADrhael
54,Werewolves,Elgarain
55,Werewolves,Elladan_and_Elrohir
56,Werewolves,Evonyn
57,Werewolves,Gilraen
58,Werewolves,Gorganog
59,Werewolves,Halbarad
60,Werewolves,Halbaron
61,Werewolves,Ivorwen
62,Werewolves,Maia_(Born_of_Hope)
63,Werewolves,Mallor_(BOH)
64,Non-canonical_D%C3%BAnedain,Shaknar
65,Non-canonical_D%C3%BAnedain,R%C3%BAmil_(Noldo)
66,Non-canonical_D%C3%BAnedain,Ausir_(child)
67,Non-canonical_D%C3%BAnedain,Balcmeg
68,Non-canonical_D%C3%BAnedain,Bodruith
69,Non-canonical_D%C3%BAnedain,Bronweg
70,Non-canonical_D%C3%BAnedain,Fangluin_Bluebeard
71,Non-canonical_D%C3%BAnedain,Fankil
72,Non-canonical_D%C3%BAnedain,Gimli_(Elf)
73,Non-canonical_D%C3%BAnedain,Gorgumoth
